01: 403D   
02: 4440   
03: 0000   
04: 000F   
05: 7C00   
06: 03FF   
07: 0400   
08: 000A   
09: 0001   
0A: FFFF   
0B: 0800   
10: 8101   
11: 8202   
12: 8304   
13: 6413   
14: 6523   
15: 8605   
16: 3716   
17: 3826   
18: 8908   
19: 6779   
1a: 6889   
1b: 8A06   
1c: 3B1A   
1d: 3C2A   
1e: 8D07   
1f: 1BBD   
20: 1CCD   
21: 2178   
22: C12D   
23: D12B   
24: 8E0A   
25: 411E   
26: 8209   
27: 1112   
28: 6BB1   
29: 1771   
2a: C02D   
2b: 6CC1   
2c: 1881   
2d: 11BC   
2e: 820B   
2f: 3221   
30: C234   
31: 7301   
32: 1773   
33: 6113   
34: 411D   
35: 5779   
36: 4117   
37: 9103   
38: 0000
